date,flight_id,scale,index_url,frame_status,reference_image_url,county_name,county_url
1983-05-03,AMI-SBD-83,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd83,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1983-04-14,AMI-RIV-83,['36000'],http://mil.library.ucsb.edu/ap_indexes/amiriv83,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1983-01-01,NHAP-84,['58000'],http://mil.library.ucsb.edu/ap_indexes/nhap84,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1982-01-01,NHAP-83,"['58000', '80000']",http://mil.library.ucsb.edu/ap_indexes/nhap83,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1981-06-08,81-079-02983,['32500'],http://mil.library.ucsb.edu/ap_indexes/8107902983,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1981-06-05,81-096-02982,['32500'],http://mil.library.ucsb.edu/ap_indexes/8109602982,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1981-04-05,AMI-SBD-81,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd81,Frames partially digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-08-11,80-111,['32500'],http://mil.library.ucsb.edu/ap_indexes/80111,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-06-07,AMI-SBD-80,['36000'],http://mil.library.ucsb.edu/ap_indexes/amisbd80,All frames digital,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
1980-01-21,TG-80V-1,['24000'],http://mil.library.ucsb.edu/ap_indexes/tg80v1,Ask MIL staff,https://mil.library.ucsb.edu/apcatalog/images/images_counties/SanBernardino.jpg,San Bernardino,http://mil.library.ucsb.edu/apcatalog/ap_indexes/county.php?county_id=220&state_id=5
